Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	0	29	0	145	29	145	29	145	0	0	145	0
2	0	32	0	160	32	160	32	160	0	0	160	0
3	0	35	0	175	35	175	35	175	0	0	175	0
4	0	38	0	190	38	190	38	190	0	0	190	0
5	0	41	0	205	41	205	41	205	0	0	205	0
6	0	44	0	220	44	220	44	220	0	0	220	0
7	0	47	0	235	47	235	47	235	0	0	235	0
8	0	50	0	250	50	250	50	250	0	0	250	0
9	0	58	0	290	58	290	58	290	0	0	290	0
10	0	67	0	335	67	335	67	335	0	0	335	0
11	0	78	0	390	78	390	78	390	0	0	390	0
12	0	89	0	445	89	445	89	445	0	0	445	0
13	0	102	0	510	102	510	102	510	0	0	510	0
14	0	116	0	580	116	580	116	580	0	0	580	0
15	0	147	0	735	147	735	147	735	0	0	735	0
16	0	165	0	825	165	825	165	825	0	0	825	0
17	0	173	0	865	173	865	173	865	0	0	865	0
18	0	182	0	910	182	910	182	910	0	0	910	0
19	0	190	0	950	190	950	190	950	0	0	950	0
20	0	199	0	995	199	995	199	995	0	0	995	0
21	0	212	0	1060	212	1060	212	1060	0	0	1060	0
22	0	225	0	1125	225	1125	225	1125	0	0	1125	0
23	0	239	0	1195	239	1195	239	1195	0	0	1195	0
24	0	281	0	1405	281	1405	281	1405	0	0	1405	0
25	0	298	0	1490	298	1490	298	1490	0	0	1490	0
26	0	311	0	1555	311	1555	311	1555	0	0	1555	0
27	0	324	0	1620	324	1620	324	1620	0	0	1620	0
28	0	338	0	1690	338	1690	338	1690	0	0	1690	0
29	0	352	0	1760	352	1760	352	1760	0	0	1760	0
30	0	366	0	1830	366	1830	366	1830	0	0	1830	0
31	0	422	0	2110	422	2110	422	2110	0	0	2110	0
32	0	443	0	2215	443	2215	443	2215	0	0	2215	0
33	0	464	0	2320	464	2320	464	2320	0	0	2320	0
34	0	485	0	2425	485	2425	485	2425	0	0	2425	0
35	0	508	0	2540	508	2540	508	2540	0	0	2540	0
36	0	523	0	2615	523	2615	523	2615	0	0	2615	0
37	0	539	0	2695	539	2695	539	2695	0	0	2695	0
38	0	605	0	3025	605	3025	605	3025	0	0	3025	0
39	0	622	0	3110	622	3110	622	3110	0	0	3110	0
40	0	639	0	3195	639	3195	639	3195	0	0	3195	0
41	0	654	0	3270	654	3270	654	3270	0	0	3270	0
42	0	669	0	3345	669	3345	669	3345	0	0	3345	0
43	0	684	0	3420	684	3420	684	3420	0	0	3420	0
44	0	699	0	3495	699	3495	699	3495	0	0	3495	0
45	0	774	0	3870	774	3870	774	3870	0	0	3870	0
46	0	788	0	3940	788	3940	788	3940	0	0	3940	0
47	0	803	0	4015	803	4015	803	4015	0	0	4015	0
48	0	818	0	4090	818	4090	818	4090	0	0	4090	0
49	0	834	0	4170	834	4170	834	4170	0	0	4170	0
50	0	915	0	4575	915	4575	915	4575	0	0	4575	0
51	0	932	0	4660	932	4660	932	4660	0	0	4660	0
52	0	950	0	4750	950	4750	950	4750	0	0	4750	0
53	0	967	0	4835	967	4835	967	4835	0	0	4835	0
54	0	1056	0	5280	1056	5280	1056	5280	0	0	5280	0
55	0	1076	0	5380	1076	5380	1076	5380	0	0	5380	0
56	0	1096	0	5480	1096	5480	1096	5480	0	0	5480	0
57	0	1117	0	5585	1117	5585	1117	5585	0	0	5585	0
58	0	1138	0	5690	1138	5690	1138	5690	0	0	5690	0
59	0	1159	0	5795	1159	5795	1159	5795	0	0	5795	0
60	0	1260	0	6300	1260	6300	1260	6300	0	0	6300	0
61	0	1284	0	6420	1284	6420	1284	6420	0	0	6420	0
62	0	1308	0	6540	1308	6540	1308	6540	0	0	6540	0
63	0	1332	0	6660	1332	6660	1332	6660	0	0	6660	0
64	0	1357	0	6785	1357	6785	1357	6785	0	0	6785	0
65	0	1383	0	6915	1383	6915	1383	6915	0	0	6915	0
66	0	1409	0	7045	1409	7045	1409	7045	0	0	7045	0
67	0	1435	0	7175	1435	7175	1435	7175	0	0	7175	0
68	0	1462	0	7310	1462	7310	1462	7310	0	0	7310	0
69	0	1583	0	7915	1583	7915	1583	7915	0	0	7915	0
70	0	1613	0	8065	1613	8065	1613	8065	0	0	8065	0
71	0	1643	0	8215	1643	8215	1643	8215	0	0	8215	0
72	0	1674	0	8370	1674	8370	1674	8370	0	0	8370	0
73	0	1706	0	8530	1706	8530	1706	8530	0	0	8530	0
74	0	1738	0	8690	1738	8690	1738	8690	0	0	8690	0
75	0	1771	0	8855	1771	8855	1771	8855	0	0	8855	0
76	0	1804	0	9020	1804	9020	1804	9020	0	0	9020	0
77	0	1838	0	9190	1838	9190	1838	9190	0	0	9190	0
78	0	1872	0	9360	1872	9360	1872	9360	0	0	9360	0
79	0	2020	0	10100	2020	10100	2020	10100	0	0	10100	0
80	0	2058	0	10290	2058	10290	2058	10290	0	0	10290	0
81	0	2097	0	10485	2097	10485	2097	10485	0	0	10485	0
82	0	2136	0	10680	2136	10680	2136	10680	0	0	10680	0
83	0	2176	0	10880	2176	10880	2176	10880	0	0	10880	0
84	0	2217	0	11085	2217	11085	2217	11085	0	0	11085	0
85	0	2259	0	11295	2259	11295	2259	11295	0	0	11295	0
86	0	2301	0	11505	2301	11505	2301	11505	0	0	11505	0
87	0	2345	0	11725	2345	11725	2345	11725	0	0	11725	0
88	0	2521	0	12605	2521	12605	2521	12605	0	0	12605	0
89	0	2569	0	12845	2569	12845	2569	12845	0	0	12845	0
90	0	2617	0	13085	2617	13085	2617	13085	0	0	13085	0
91	0	2666	0	13330	2666	13330	2666	13330	0	0	13330	0
92	0	2717	0	13585	2717	13585	2717	13585	0	0	13585	0
93	0	2768	0	13840	2768	13840	2768	13840	0	0	13840	0
94	0	2820	0	14100	2820	14100	2820	14100	0	0	14100	0
95	0	2873	0	14365	2873	14365	2873	14365	0	0	14365	0
96	0	2927	0	14635	2927	14635	2927	14635	0	0	14635	0
97	0	3139	0	15695	3139	15695	3139	15695	0	0	15695	0
98	0	3198	0	15990	3198	15990	3198	15990	0	0	15990	0
99	0	3258	0	16290	3258	16290	3258	16290	0	0	16290	0
100	0	3319	0	16595	3319	16595	3319	16595	0	0	16595	0
101	0	3382	0	16910	3382	16910	3382	16910	0	0	16910	0
102	0	3446	0	17230	3446	17230	3446	17230	0	0	17230	0
103	0	3510	0	17550	3510	17550	3510	17550	0	0	17550	0
104	0	3576	0	17880	3576	17880	3576	17880	0	0	17880	0
105	0	3644	0	18220	3644	18220	3644	18220	0	0	18220	0
106	0	3712	0	18560	3712	18560	3712	18560	0	0	18560	0
107	0	3782	0	18910	3782	18910	3782	18910	0	0	18910	0
108	0	3853	0	19265	3853	19265	3853	19265	0	0	19265	0
109	0	3926	0	19630	3926	19630	3926	19630	0	0	19630	0
110	0	4000	0	20000	4000	20000	4000	20000	0	0	20000	0
111	0	7197	0	35985	7197	35985	7197	35985	0	0	35985	0
112	0	8478	0	42390	8478	42390	8478	42390	0	0	42390	0
113	0	9740	0	48700	9740	48700	9740	48700	0	0	48700	0
114	0	10909	0	54545	10909	54545	10909	54545	0	0	54545	0
115	0	11910	0	59550	11910	59550	11910	59550	0	0	59550	0
116	0	12940	0	64700	12940	64700	12940	64700	0	0	64700	0
117	0	13701	0	68505	13701	68505	13701	68505	0	0	68505	0
118	0	14490	0	72450	14490	72450	14490	72450	0	0	72450	0
119	0	15480	0	77400	15480	77400	15480	77400	0	0	77400	0
120	0	20000	0	100000	20000	100000	20000	100000	0	0	100000	0
121	0	20000	0	100000	20000	100000	20000	100000	0	0	100000	0
122	0	20000	0	100000	20000	100000	20000	100000	0	0	100000	0
123	0	20000	0	100000	20000	100000	20000	100000	0	0	100000	0
