Level	Amplify	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Multi-Strike	Readiness	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Cleave	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
1	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
2	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
3	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
4	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
5	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
6	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
7	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
8	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
9	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
10	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
11	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
12	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
13	14.87423894	0.356981734	3.30538643	3.30538643	1.487423894	1.636166283	1.636166283	1.636166283	2.974847787	2.974847787	2.974847787	0	2.974847787	0.826346608	0	1.487423894	1.652693215	2.809578466	2.809578466	2.809578466	1.156885251	0.297484779	0	1.636166283	0	2.974847787	1.308933026	2.974847787	3.511973082	3.511973082	7.023946164	0
