Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	1	1	1	1
8	1	1	1	1
9	1	1	1	1
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
15	1	1	1	1
16	1	1	1	1
17	1	1	1	1
18	1	1	1	1
19	1	1	1	1
20	1	1	1	1
21	1	1	1	1
22	1	1	1	1
23	1	1	1	1
24	1	1	1	1
25	1	1	1	1
26	1	1	1	1
27	1	1	1	1
28	1	1	1	1
29	1	1	1	1
30	1	1	1	1
31	1	1	1	1
32	1	1	1	1
33	1	1	1	1
34	1	1	1	1
35	1	1	1	1
36	1	1	1	1
37	1	1	1	1
38	1	1	1	1
39	1	1	1	1
40	1	1	1	1
41	1	1	1	1
42	1	1	1	1
43	1	1	1	1
44	1	1	1	1
45	1	1	1	1
46	1	1	1	1
47	1	1	1	1
48	1	1	1	1
49	1	1	1	1
50	1	1	1	1
51	1	1	1	1
52	1	1	1	1
53	1	1	1	1
54	1	1	1	1
55	1	1	1	1
56	1	1	1	1
57	1	1	1	1
58	1	1	1	1
59	1	1	1	1
60	1	1	1	1
61	1	1	1	1
62	1	1	1	1
63	1	1	1	1
64	1	1	1	1
65	1	1	1	1
66	1	1	1	1
67	1	1	1	1
68	1	1	1	1
69	1	1	1	1
70	1	1	1	1
71	1	1	1	1
72	1	1	1	1
73	1	1	1	1
74	1	1	1	1
75	1	1	1	1
76	1	1	1	1
77	1	1	1	1
78	1	1	1	1
79	1	1	1	1
80	1	1	1	1
81	1	1	1	1
82	1	1	1	1
83	1	1	1	1
84	1	1	1	1
85	1	1	1	1
86	1	1	1	1
87	1	1	1	1
88	1	1	1	1
89	1	1	1	1
90	1	1	1	1
91	1	1	1	1
92	1	1	1	1
93	1	1	1	1
94	1	1	1	1
95	1	1	1	1
96	1	1	1	1
97	1	1	1	1
98	1	1	1	1
99	1	1	1	1
100	1	1	1	1
101	1	1	1	1
102	1	1	1	1
103	1	1	1	1
104	1	1	1	1
105	1	1	1	1
106	1	1	1	1
107	1	1	1	1
108	1	1	1	1
109	1	1	1	1
110	1	1	1	1
111	1	1	1	1
112	1	1	1	1
113	1	1	1	1
114	1	1	1	1
115	1	1	1	1
116	1	1	1	1
117	1	1	1	1
118	1	1	1	1
119	1	1	1	1
120	1	1	1	1
121	1	1	1	1
122	1	1	1	1
123	1	1	1	1
124	1	1	1	1
125	1	1	1	1
126	1	1	1	1
127	1	1	1	1
128	1	1	1	1
129	1	1	1	1
130	1	1	1	1
131	1	1	1	1
132	1	1	1	1
133	1	1	1	1
134	1	1	1	1
135	1	1	1	1
136	1	1	1	1
137	1	1	1	1
138	1	1	1	1
139	1	1	1	1
140	1	1	1	1
141	1	1	1	1
142	1	1	1	1
143	1	1	1	1
144	1	1	1	1
145	1	1	1	1
146	1	1	1	1
147	1	1	1	1
148	1	1	1	1
149	1	1	1	1
150	1	1	1	1
151	1	1	1	1
152	1	1	1	1
153	1	1	1	1
154	1	1	1	1
155	1	1	1	1
156	1	1	1	1
157	1	1	1	1
158	1	1	1	1
159	1	1	1	1
160	1	1	1	1
161	0.994435486	0.994435486	0.994435486	0.996754034
162	0.992604783	0.992604783	0.992604783	0.99956382
163	0.994487319	0.994487319	0.994487319	1.008480671
164	0.99265652	0.99265652	0.99265652	1.011323514
165	0.994539154	0.994539154	0.994539154	1.020345271
166	0.99270826	0.99270826	0.99270826	1.02322156
167	0.994590992	0.994590992	0.994590992	1.032349456
168	0.992760002	0.992760002	0.992760002	1.035259583
169	0.994642833	0.994642833	0.994642833	1.044494867
170	0.992811747	0.992811747	0.992811747	1.047439232
171	0.994694676	0.994694676	0.994694676	1.056783168
172	0.992863495	0.992863495	0.992863495	1.059762172
173	0.994746522	0.994746522	0.994746522	1.069216038
174	0.992915246	0.992915246	0.992915246	1.07223009
175	0.994798371	0.994798371	0.994798371	1.081795178
176	0.992966999	0.992966999	0.992966999	1.08484469
177	0.994850222	0.994850222	0.994850222	1.09452231
178	0.993018755	0.993018755	0.993018755	1.097607699
179	0.994902077	0.994902077	0.994902077	1.107399175
180	0.993070514	0.993070514	0.993070514	1.110520863
181	0.994953934	0.994953934	0.994953934	1.120427534
182	0.993122276	0.993122276	0.993122276	1.123585948
183	0.995005793	0.995005793	0.995005793	1.133609169
184	0.99317404	0.99317404	0.99317404	1.136804741
185	0.995057655	0.995057655	0.995057655	1.146945883
186	0.993225807	0.993225807	0.993225807	1.150179051
187	0.99510952	0.99510952	0.99510952	1.160439502
188	0.993277576	0.993277576	0.993277576	1.163710707
189	0.995161388	0.995161388	0.995161388	1.174091871
190	0.993329348	0.993329348	0.993329348	1.177401561
191	0.995213259	0.995213259	0.995213259	1.187904857
192	0.993381123	0.993381123	0.993381123	1.191253486
193	0.995265132	0.995265132	0.995265132	1.201880351
194	0.993432901	0.993432901	0.993432901	1.205268376
195	0.991604043	0.991604043	0.991604043	1.208665951
196	0.986086249	0.986086249	0.986086249	1.204742662
197	0.980599158	0.980599158	0.980599158	1.200832108
198	0.9751426	0.9751426	0.9751426	1.196934247
199	0.969716406	0.969716406	0.969716406	1.193049039
200	0.964320406	0.964320406	0.964320406	1.189176441
201	0.958954431	0.958954431	0.958954431	1.185316415
202	0.953618316	0.953618316	0.953618316	1.181468917
203	0.948311894	0.948311894	0.948311894	1.177633909
204	0.943034999	0.943034999	0.943034999	1.173811349
205	0.937787468	0.937787468	0.937787468	1.170001197
206	0.932569136	0.932569136	0.932569136	1.166203412
207	0.927379842	0.927379842	0.927379842	1.162417955
208	0.922219425	0.922219425	0.922219425	1.158644785
209	0.917087722	0.917087722	0.917087722	1.154883863
210	0.911984574	0.911984574	0.911984574	1.151135149
211	0.906909824	0.906909824	0.906909824	1.147398603
212	0.901863311	0.901863311	0.901863311	1.143674186
213	0.89684488	0.89684488	0.89684488	1.139961858
214	0.891854375	0.891854375	0.891854375	1.13626158
215	0.886891639	0.886891639	0.886891639	1.132573313
216	0.881956518	0.881956518	0.881956518	1.128897018
217	0.877048859	0.877048859	0.877048859	1.125232656
218	0.872168508	0.872168508	0.872168508	1.121580189
219	0.867315314	0.867315314	0.867315314	1.117939577
220	0.862489126	0.862489126	0.862489126	1.114310783
221	0.857689793	0.857689793	0.857689793	1.110693767
222	0.852917167	0.852917167	0.852917167	1.107088493
223	0.848171097	0.848171097	0.848171097	1.10349492
224	0.843451437	0.843451437	0.843451437	1.099913013
225	0.83875804	0.83875804	0.83875804	1.096342732
226	0.83409076	0.83409076	0.83409076	1.092784041
227	0.82944945	0.82944945	0.82944945	1.0892369
228	0.824833967	0.824833967	0.824833967	1.085701274
229	0.820244167	0.820244167	0.820244167	1.082177124
230	0.815679907	0.815679907	0.815679907	1.078664413
231	0.811141045	0.811141045	0.811141045	1.075163105
232	0.806627439	0.806627439	0.806627439	1.071673162
233	0.80213895	0.80213895	0.80213895	1.068194547
234	0.797675436	0.797675436	0.797675436	1.064727223
235	0.79323676	0.79323676	0.79323676	1.061271154
236	0.788822783	0.788822783	0.788822783	1.057826304
237	0.784433368	0.784433368	0.784433368	1.054392635
238	0.780068378	0.780068378	0.780068378	1.050970112
239	0.775727676	0.775727676	0.775727676	1.047558698
240	0.771411129	0.771411129	0.771411129	1.044158358
241	0.767118601	0.767118601	0.767118601	1.040769055
242	0.762849959	0.762849959	0.762849959	1.037390753
243	0.75860507	0.75860507	0.75860507	1.034023418
244	0.754383801	0.754383801	0.754383801	1.030667013
245	0.750186022	0.750186022	0.750186022	1.027321502
246	0.746011602	0.746011602	0.746011602	1.023986851
247	0.74186041	0.74186041	0.74186041	1.020663024
248	0.737732317	0.737732317	0.737732317	1.017349986
249	0.733627196	0.733627196	0.733627196	1.014047702
250	0.729544917	0.729544917	0.729544917	1.010756137
251	0.725485354	0.725485354	0.725485354	1.007475257
252	0.721448381	0.721448381	0.721448381	1.004205026
253	0.717433871	0.717433871	0.717433871	1.00094541
254	0.7134417	0.7134417	0.7134417	0.997696375
255	0.709471744	0.709471744	0.709471744	0.994457886
256	0.705523879	0.705523879	0.705523879	0.991229909
257	0.701597981	0.701597981	0.701597981	0.98801241
258	0.69769393	0.69769393	0.69769393	0.984805355
259	0.693811602	0.693811602	0.693811602	0.98160871
260	0.689950878	0.689950878	0.689950878	0.978422441
261	0.686111637	0.686111637	0.686111637	0.975246515
262	0.682293759	0.682293759	0.682293759	0.972080897
263	0.678497126	0.678497126	0.678497126	0.968925555
264	0.674721619	0.674721619	0.674721619	0.965780456
265	0.670967121	0.670967121	0.670967121	0.962645565
266	0.674618275	0.674618275	0.674618275	0.964080124
267	0.678289297	0.678289297	0.678289297	0.96551682
268	0.681980296	0.681980296	0.681980296	0.966955658
269	0.685691379	0.685691379	0.685691379	0.96839664
270	0.689422657	0.689422657	0.689422657	0.969839769
271	0.693174239	0.693174239	0.693174239	0.971285049
272	0.696946235	0.696946235	0.696946235	0.972732483
273	0.700738758	0.700738758	0.700738758	0.974182074
274	0.704551918	0.704551918	0.704551918	0.975633825
275	0.708385827	0.708385827	0.708385827	0.977087739
276	0.7122406	0.7122406	0.7122406	0.97854382
277	0.716116349	0.716116349	0.716116349	0.980002071
278	0.720013188	0.720013188	0.720013188	0.981462495
279	0.723931232	0.723931232	0.723931232	0.982925096
280	0.727870597	0.727870597	0.727870597	0.984389876
281	0.731831398	0.731831398	0.731831398	0.985856838
282	0.735813753	0.735813753	0.735813753	0.987325987
283	0.739817778	0.739817778	0.739817778	0.988797326
284	0.743843591	0.743843591	0.743843591	0.990270857
285	0.747891312	0.747891312	0.747891312	0.991746584
286	0.751961058	0.751961058	0.751961058	0.99322451
287	0.756052951	0.756052951	0.756052951	0.994704638
288	0.76016711	0.76016711	0.76016711	0.996186972
289	0.764303657	0.764303657	0.764303657	0.997671515
290	0.768462714	0.768462714	0.768462714	0.999158271
291	0.772644402	0.772644402	0.772644402	1.000647242
292	0.776848846	0.776848846	0.776848846	1.002138432
293	0.781076169	0.781076169	0.781076169	1.003631844
294	0.785326495	0.785326495	0.785326495	1.005127482
295	0.78959995	0.78959995	0.78959995	1.006625349
296	0.793896659	0.793896659	0.793896659	1.008125447
297	0.79821675	0.79821675	0.79821675	1.009627782
298	0.802560349	0.802560349	0.802560349	1.011132355
299	0.806927584	0.806927584	0.806927584	1.01263917
300	0.811318584	0.811318584	0.811318584	1.01414823
301	0.808817976	0.808817976	0.808817976	1.01102247
302	0.806293968	0.806293968	0.806293968	1.00786746
303	0.803747209	0.803747209	0.803747209	1.004684011
304	0.801178339	0.801178339	0.801178339	1.001472923
305	0.798587986	0.798587986	0.798587986	0.998234982
306	0.79597677	0.79597677	0.79597677	0.994970963
307	0.793345301	0.793345301	0.793345301	0.991681626
308	0.790694179	0.790694179	0.790694179	0.988367724
309	0.788023995	0.788023995	0.788023995	0.985029994
310	0.785335331	0.785335331	0.785335331	0.981669164
311	0.782628758	0.782628758	0.782628758	0.978285948
312	0.779904841	0.779904841	0.779904841	0.974881051
313	0.777164134	0.777164134	0.777164134	0.971455167
314	0.774407182	0.774407182	0.774407182	0.968008978
315	0.771634523	0.771634523	0.771634523	0.964543154
316	0.768846685	0.768846685	0.768846685	0.961058357
317	0.766044188	0.766044188	0.766044188	0.957555236
318	0.763227544	0.763227544	0.763227544	0.954034431
319	0.760397257	0.760397257	0.760397257	0.950496571
320	0.757553821	0.757553821	0.757553821	0.946942276
321	0.754697723	0.754697723	0.754697723	0.943372154
322	0.751829445	0.751829445	0.751829445	0.939786806
323	0.748949456	0.748949456	0.748949456	0.936186819
324	0.74605822	0.74605822	0.74605822	0.932572776
325	0.743156195	0.743156195	0.743156195	0.928945244
326	0.740243829	0.740243829	0.740243829	0.925304787
327	0.737321564	0.737321564	0.737321564	0.921651955
328	0.734389832	0.734389832	0.734389832	0.917987291
329	0.731449063	0.731449063	0.731449063	0.914311328
330	0.728499674	0.728499674	0.728499674	0.910624593
331	0.725542079	0.725542079	0.725542079	0.906927599
332	0.722576685	0.722576685	0.722576685	0.903220856
333	0.719603889	0.719603889	0.719603889	0.899504861
334	0.716624085	0.716624085	0.716624085	0.895780106
335	0.713637657	0.713637657	0.713637657	0.892047071
336	0.710644986	0.710644986	0.710644986	0.888306232
337	0.707646443	0.707646443	0.707646443	0.884558054
338	0.704642396	0.704642396	0.704642396	0.880802995
339	0.701633203	0.701633203	0.701633203	0.877041504
340	0.69861922	0.69861922	0.69861922	0.873274025
341	0.695600793	0.695600793	0.695600793	0.869500992
342	0.692578265	0.692578265	0.692578265	0.865722831
343	0.68955197	0.68955197	0.68955197	0.861939963
344	0.68652224	0.68652224	0.68652224	0.8581528
345	0.683489397	0.683489397	0.683489397	0.854361746
346	0.68045376	0.68045376	0.68045376	0.8505672
347	0.677415642	0.677415642	0.677415642	0.846769552
348	0.67437535	0.67437535	0.67437535	0.842969187
349	0.671333185	0.671333185	0.671333185	0.839166482
350	0.668289445	0.668289445	0.668289445	0.835361806
351	0.665244419	0.665244419	0.665244419	0.831555523
352	0.662198393	0.662198393	0.662198393	0.827747991
353	0.659151648	0.659151648	0.659151648	0.82393956
354	0.656104459	0.656104459	0.656104459	0.820130574
355	0.653057097	0.653057097	0.653057097	0.816321371
356	0.650009826	0.650009826	0.650009826	0.812512283
357	0.646962908	0.646962908	0.646962908	0.808703635
358	0.643916597	0.643916597	0.643916597	0.804895746
359	0.640871144	0.640871144	0.640871144	0.80108893
360	0.637826796	0.637826796	0.637826796	0.797283496
361	0.634783795	0.634783795	0.634783795	0.793479743
362	0.631742376	0.631742376	0.631742376	0.78967797
363	0.628702772	0.628702772	0.628702772	0.785878465
364	0.625665211	0.625665211	0.625665211	0.782081514
365	0.622629917	0.622629917	0.622629917	0.778287397
366	0.61959711	0.61959711	0.61959711	0.774496387
367	0.616567003	0.616567003	0.616567003	0.770708753
368	0.613539807	0.613539807	0.613539807	0.766924759
369	0.61051573	0.61051573	0.61051573	0.763144663
370	0.607494974	0.607494974	0.607494974	0.759368718
371	0.604477737	0.604477737	0.604477737	0.755597171
372	0.601464214	0.601464214	0.601464214	0.751830268
373	0.598454595	0.598454595	0.598454595	0.748068244
374	0.595449068	0.595449068	0.595449068	0.744311335
375	0.592447815	0.592447815	0.592447815	0.740559769
376	0.589451015	0.589451015	0.589451015	0.736813769
377	0.586458845	0.586458845	0.586458845	0.733073556
378	0.583471475	0.583471475	0.583471475	0.729339343
379	0.580489074	0.580489074	0.580489074	0.725611343
380	0.577511808	0.577511808	0.577511808	0.721889759
381	0.574539836	0.574539836	0.574539836	0.718174795
382	0.571573318	0.571573318	0.571573318	0.714466647
383	0.568612407	0.568612407	0.568612407	0.710765509
384	0.565657255	0.565657255	0.565657255	0.707071569
385	0.56270801	0.56270801	0.56270801	0.703385012
386	0.559764816	0.559764816	0.559764816	0.69970602
387	0.556827814	0.556827814	0.556827814	0.696034768
388	0.553897144	0.553897144	0.553897144	0.69237143
389	0.550972939	0.550972939	0.550972939	0.688716174
390	0.548055333	0.548055333	0.548055333	0.685069166
391	0.545144454	0.545144454	0.545144454	0.681430568
392	0.542240429	0.542240429	0.542240429	0.677800536
393	0.53934338	0.53934338	0.53934338	0.674179225
394	0.536453429	0.536453429	0.536453429	0.670566786
395	0.533570692	0.533570692	0.533570692	0.666963365
396	0.530695284	0.530695284	0.530695284	0.663369105
397	0.527827318	0.527827318	0.527827318	0.659784148
398	0.524966903	0.524966903	0.524966903	0.656208629
399	0.522114145	0.522114145	0.522114145	0.652642681
400	0.519269148	0.519269148	0.519269148	0.649086436
401	0.516432015	0.516432015	0.516432015	0.645540018
402	0.513602842	0.513602842	0.513602842	0.642003553
403	0.510781728	0.510781728	0.510781728	0.63847716
404	0.507968765	0.507968765	0.507968765	0.634960957
405	0.505164046	0.505164046	0.505164046	0.631455058
406	0.502367659	0.502367659	0.502367659	0.627959574
407	0.499579691	0.499579691	0.499579691	0.624474614
408	0.496800226	0.496800226	0.496800226	0.621000283
409	0.494029347	0.494029347	0.494029347	0.617536684
410	0.491267133	0.491267133	0.491267133	0.614083916
411	0.488513662	0.488513662	0.488513662	0.610642077
412	0.485769009	0.485769009	0.485769009	0.607211261
413	0.483033248	0.483033248	0.483033248	0.603791559
414	0.480306449	0.480306449	0.480306449	0.600383061
415	0.477588682	0.477588682	0.477588682	0.596985852
416	0.474880013	0.474880013	0.474880013	0.593600017
417	0.472180509	0.472180509	0.472180509	0.590225636
418	0.469490231	0.469490231	0.469490231	0.586862789
419	0.466809241	0.466809241	0.466809241	0.583511551
420	0.464137598	0.464137598	0.464137598	0.580171997
421	0.461475359	0.461475359	0.461475359	0.576844198
422	0.458822579	0.458822579	0.458822579	0.573528224
423	0.456179312	0.456179312	0.456179312	0.57022414
424	0.45354561	0.45354561	0.45354561	0.566932013
425	0.450921523	0.450921523	0.450921523	0.563651904
426	0.448307099	0.448307099	0.448307099	0.560383873
427	0.445702384	0.445702384	0.445702384	0.557127979
428	0.443107422	0.443107422	0.443107422	0.553884278
429	0.440522259	0.440522259	0.440522259	0.550652823
430	0.437946933	0.437946933	0.437946933	0.547433667
431	0.435381487	0.435381487	0.435381487	0.544226858
432	0.432825957	0.432825957	0.432825957	0.541032446
433	0.430280381	0.430280381	0.430280381	0.537850476
434	0.427744793	0.427744793	0.427744793	0.534680991
