Level	Health
1	8
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
10	8
11	8
12	8
13	8
14	8
15	8
16	8
17	9
18	9
19	9
20	9
21	9
22	9
23	9
24	9
25	9
26	10
27	10
28	10
29	10
30	10
31	10
32	11
33	11
34	11
35	11
36	11
37	11
38	11
39	12
40	12
41	12
42	12
43	12
44	12
45	12
46	13
47	13
48	13
49	13
50	14
51	14
52	14
53	14
54	14
55	15
56	15
57	15
58	15
59	15
60	15
61	16
62	16
63	16
64	16
65	16
66	16
67	16
68	16
69	16
70	16
71	17
72	17
73	17
74	17
75	17
76	17
77	17
78	17
79	17
80	18
81	18
82	18
83	18
84	18
85	18
86	18
87	18
88	18
89	19
90	19
91	19
92	19
93	19
94	19
95	19
96	19
97	19
98	20
99	20
100	20
101	20
102	20
103	20
104	20
105	20
106	20
107	20
108	20
109	20
110	20
111	20
112	20
113	20
114	20
115	20
116	20
117	20
118	20
119	20
120	20
121	20
122	20
123	20
