Level	Player-to-player Healing	NPC-to-player damage	Player-to-NPC damage
1	4.8034	1	1
2	5.9442075	1	1
3	7.2051	1	1
4	7.921162407	1	1
5	8.655015185	1	1
6	9.406658333	1	1
7	10.17609185	1	1
8	10.96331574	1	1
9	12.39481692	1	1
10	14.00226919	1	1
11	16.48884732	1	1
12	19.330359	1	1
13	22.55186365	1	1
14	26.1833311	1	1
15	30.26059108	1	1
16	33.7455006	1	1
17	36.04937398	1	1
18	38.42102932	1	1
19	40.86150687	1	1
20	43.37184571	1	1
21	46.63377943	1	1
22	50.07862306	1	1
23	53.71646281	1	1
24	57.5579824	1	1
25	61.61449626	1	1
26	65.32417181	1	1
27	69.18732165	1	1
28	73.20991164	1	1
29	77.39814273	1	1
30	81.75846001	1	1
31	86.65197153	1	1
32	91.79370809	1	1
33	97.19695981	1	1
34	102.8757462	1	1
35	108.8448544	1	1
36	113.6516137	1	1
37	118.6037045	1	1
38	123.7053119	1	1
39	128.9607354	1	1
40	134.3743914	1	1
41	139.1819797	1	1
42	144.0793748	1	1
43	149.0675101	1	1
44	154.1473252	1	1
45	159.3197659	1	1
46	164.1276883	1	1
47	169.0730115	1	1
48	174.1594937	1	1
49	179.3909921	1	1
50	194.0100391	1	1
51	199.8930479	1	1
52	205.9447201	1	1
53	212.1696791	1	1
54	218.5726705	1	1
55	225.1585653	1	1
56	231.9323632	1	1
57	238.8991957	1	1
58	246.0643296	1	1
59	253.4331707	1	1
60	261.0112669	1	1
61	267.6975323	1	1
62	274.5445432	1	1
63	281.5559245	1	1
64	288.7353789	1	1
65	296.0866877	1	1
66	303.6137133	1	1
67	311.3204003	1	1
68	319.2107778	1	1
69	327.2889605	1	1
70	335.5591513	1	1
71	344.0256424	1	1
72	352.6928176	1	1
73	361.5651545	1	1
74	370.6472259	1	1
75	379.943702	1	1
76	389.4593528	1	1
77	399.19905	1	1
78	409.1677689	1	1
79	419.4910478	1	1
80	430.0584536	1	1
81	440.8754273	1	1
82	451.9475264	1	1
83	463.2804272	1	1
84	474.8799276	1	1
85	486.7519493	1	1
86	498.902541	1	1
87	511.3378805	1	1
88	524.0642778	1	1
89	537.0881779	1	1
90	550.4161636	1	1
91	564.0549582	1	1
92	578.0114291	1	1
93	592.2925903	1	1
94	606.9056058	1	1
95	621.8577926	1	1
96	637.1566242	1	1
97	652.8097336	1	1
98	668.8249172	1	1
99	685.2101377	1	1
100	701.9735281	1	1
101	713.1610338	1	1
102	727.4112387	1	1
103	741.9353598	1	1
104	756.7385008	1	1
105	771.825861	1	1
106	787.2027369	1	1
107	802.8745242	1	1
108	818.8467197	1	1
109	835.1249233	1	1
110	851.8089618	1	1
111	1700.94278	1	1
112	1923.149611	1	1
113	2128.295823	1	1
114	2306.811173	1	1
115	2450.39741	1	1
116	2609.489924	1	1
117	2734.305279	1	1
118	2874.491307	1	1
119	3063.710038	1	1
120	3902.798491	1	1
121	3902.798491	1	1
122	3902.798491	1	1
123	3902.798491	1	1
