Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat
1	0	0	0	0	0	0	0	0	0	0	0	0	1.8	185.0591612	3.029213017	3.766048616	4.584754837	132.1851152	0.45
2	0	0	0	0	0	0	0	0	0	0	0	0	2.1	185.0591612	3.029213017	3.766048616	4.584754837	145.4036267	0.525
3	0	0	0	0	0	0	0	0	0	0	0	0	2.4	185.0591612	3.029213017	3.766048616	4.584754837	158.6221382	0.6
4	0	0	0	0	0	0	0	0	0	0	0	0	2.7	185.0591612	3.029213017	3.766048616	4.584754837	171.8406497	0.675
5	0	0	0	0	0	0	0	0	0	0	0	0	3	185.0591612	3.029213017	3.766048616	4.584754837	185.0591612	0.75
6	0	0	0	0	0	0	0	0	0	0	0	0	3	302.2605478	3.029213017	3.766048616	4.584754837	198.2776728	0.75
7	0	0	0	0	0	0	0	0	0	0	0	0	4	302.2605478	3.029213017	3.766048616	4.584754837	211.4961843	1
8	0	0	0	0	0	0	0	0	0	0	0	0	4	302.2605478	3.029213017	3.766048616	4.584754837	224.7146958	1
9	0	0	0	0	0	0	0	0	0	0	0	0	5	302.2605478	3.029213017	3.766048616	4.584754837	260.9321804	1.25
10	0	0	0	0	0	0	0	0	0	0	0	0	5	302.2605478	3.029213017	3.766048616	4.584754837	302.2605478	1.25
11	0	0	0	0	0	0	0	0	0	0	0	0	6	658.7613323	3.029213017	3.766048616	4.584754837	348.6997982	1.5
12	0	0	0	0	0	0	0	0	0	0	0	0	6	658.7613323	3.029213017	3.766048616	4.584754837	400.2499315	1.5
13	0	0	0	0	0	0	0	0	0	0	0	0	7	658.7613323	3.029213017	3.766048616	4.584754837	456.9109477	1.75
14	0	0	0	0	0	0	0	0	0	0	0	0	7	658.7613323	3.029213017	3.766048616	4.584754837	518.6828467	1.75
15	0	0	0	0	0	0	0	0	0	0	0	0	8	658.7613323	3.029213017	3.766048616	4.584754837	658.7613323	2
16	0	0	0	0	0	0	0	0	0	0	0	0	8	891.2333993	3.029213017	3.766048616	4.584754837	739.7542053	2
17	0	0	0	0	0	0	0	0	0	0	0	0	9	891.2333993	3.029213017	3.766048616	4.584754837	777.6240038	2.25
18	0	0	0	0	0	0	0	0	0	0	0	0	9	891.2333993	3.029213017	3.766048616	4.584754837	815.4938023	2.25
19	0	0	0	0	0	0	0	0	0	0	0	0	10	891.2333993	3.029213017	3.766048616	4.584754837	853.3636008	2.5
20	0	0	0	0	0	0	0	0	0	0	0	0	10	891.2333993	3.029213017	3.766048616	4.584754837	891.2333993	2.5
21	0	0	0	0	0	0	0	0	0	0	0	0	11	1332.177177	3.029213017	3.766048616	4.584754837	948.9905451	2.75
22	0	0	0	0	0	0	0	0	0	0	0	0	11	1332.177177	3.029213017	3.766048616	4.584754837	1008.641724	2.75
23	0	0	0	0	0	0	0	0	0	0	0	0	12	1332.177177	3.029213017	3.766048616	4.584754837	1070.186936	3
24	0	0	0	0	0	0	0	0	0	0	0	0	12	1332.177177	3.029213017	3.766048616	4.584754837	1259.584646	3
25	0	0	0	0	0	0	0	0	0	0	0	0	13	1332.177177	3.029213017	3.766048616	4.584754837	1332.177177	3.25
26	0	0	0	0	0	0	0	0	0	0	0	0	13	1636.515	3.029213017	3.766048616	4.584754837	1391.2409	3.25
27	0	0	0	0	0	0	0	0	0	0	0	0	14	1636.515	3.029213017	3.766048616	4.584754837	1451.206544	3.5
28	0	0	0	0	0	0	0	0	0	0	0	0	14	1636.515	3.029213017	3.766048616	4.584754837	1512.074109	3.5
29	0	0	0	0	0	0	0	0	0	0	0	0	15	1636.515	3.029213017	3.766048616	4.584754837	1573.843594	3.75
30	0	0	0	0	0	0	0	0	0	0	0	0	15	1636.515	3.029213017	3.766048616	4.584754837	1636.515	3.75
31	0	0	0	0	0	0	0	0	0	0	0	0	16	2270.664615	3.029213017	3.766048616	4.584754837	1889.746499	4
32	0	0	0	0	0	0	0	0	0	0	0	0	16	2270.664615	3.029213017	3.766048616	4.584754837	1981.58631	4
33	0	0	0	0	0	0	0	0	0	0	0	0	17	2270.664615	3.029213017	3.766048616	4.584754837	2075.685933	4.25
34	0	0	0	0	0	0	0	0	0	0	0	0	17	2270.664615	3.029213017	3.766048616	4.584754837	2172.045368	4.25
