Level	Item Level
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	62
62	64
63	66
64	68
65	70
66	72
67	74
68	76
69	78
70	80
71	82
72	84
73	86
74	88
75	90
76	92
77	94
78	96
79	98
80	100
81	102
82	104
83	106
84	108
85	110
86	112
87	114
88	116
89	118
90	120
91	122
92	124
93	126
94	128
95	130
96	132
97	134
98	136
99	138
100	140
101	142
102	144
103	146
104	148
105	150
106	152
107	154
108	156
109	158
110	160
111	202
112	218
113	232
114	244
115	254
116	264
117	271
118	278
119	286
120	310
121	310
122	310
123	310
