Level	Total	PerKill	Junk	Stats	Divisor
1	400	50	0	0	1
2	900	55	0	0	1
3	1400	60	0	0	1
4	2100	65	0	0	1
5	2800	70	0	0	1
6	3800	75	0	0	1
7	5000	80	0	0	1
8	6400	85	0	0	1
9	8100	90	0	0	1
10	9240	95	0	0	1
11	10780	100	0	0	1
12	13230	105	0	0	1
13	16800	110	0	0	1
14	20380	115	0	0	1
15	24440	120	0	0	1
16	28080	125	0	0	1
17	31500	130	0	0	1
18	34800	135	0	0	1
19	38550	140	0	0	1
20	42320	145	0	0	1
21	46560	150	0	0	1
22	49440	155	0	0	1
23	52000	160	0	0	1
24	55040	165	0	0	1
25	58400	170	0	0	1
26	61120	175	0	0	1
27	64160	180	0	0	1
28	66880	185	0	0	1
29	71680	190	0	0	1
30	76160	195	0	0	1
31	81440	200	0	0	1
32	85600	205	0	0	1
33	90240	210	0	0	1
34	94560	215	0	0	1
35	99200	220	0	0	1
36	104160	225	0	0	1
37	108480	230	0	0	1
38	113280	235	0	0	1
39	117920	240	0	0	1
40	123280	245	0	0	1
41	128750	250	0	0	1
42	134160	255	0	0	1
43	139870	260	0	0	1
44	145490	265	0	0	1
45	151440	270	0	0	1
46	157500	275	0	0	1
47	163470	280	0	0	1
48	169760	285	0	0	1
49	176180	290	0	0	1
50	182480	295	0	0	1
51	189130	300	0	0	1
52	195900	305	0	0	1
53	202540	310	0	0	1
54	209540	315	0	0	1
55	216660	320	0	0	1
56	223640	325	0	0	1
57	230990	330	0	0	1
58	238460	335	0	0	1
59	245790	340	0	0	1
60	254300	345	0	0	1
61	261860	350	0	0	1
62	269810	355	0	0	1
63	277880	360	0	0	1
64	285780	365	0	0	1
65	294080	370	0	0	1
66	302500	375	0	0	1
67	311040	380	0	0	1
68	319400	385	0	0	1
69	328170	390	0	0	1
70	337060	395	0	0	1
71	345750	400	0	0	1
72	354880	405	0	0	1
73	364120	410	0	0	1
74	373150	415	0	0	1
75	382630	420	0	0	1
76	392220	425	0	0	1
77	401600	430	0	0	1
78	411430	435	0	0	1
79	421370	440	0	0	1
80	431440	445	0	0	1
81	441270	450	0	0	1
82	451560	455	0	0	1
83	461980	460	0	0	1
84	472150	465	0	0	1
85	482800	470	0	0	1
86	493570	475	0	0	1
87	504070	480	0	0	1
88	515080	485	0	0	1
89	526200	490	0	0	1
90	542590	495	0	0	1
91	554010	500	0	0	1
92	565540	505	0	0	1
93	576780	510	0	0	1
94	588550	515	0	0	1
95	600440	520	0	0	1
96	612440	525	0	0	1
97	624560	530	0	0	1
98	636810	535	0	0	1
99	648730	540	0	0	1
100	657000	545	0	0	1
101	663000	550	0	0	1
102	669000	555	0	0	1
103	675000	560	0	0	1
104	681000	565	0	0	1
105	687000	570	0	0	1
106	693000	575	0	0	1
107	699000	580	0	0	1
108	705000	585	0	0	1
109	711000	590	0	0	1
110	717000	595	0	0	1
111	831450	600	0	0	9
112	838350	605	0	0	9
113	845250	610	0	0	9
114	852150	615	0	0	9
115	859050	620	0	0	9
116	865950	625	0	0	9
117	872850	630	0	0	9
118	879750	635	0	0	9
119	886650	640	0	0	9
120	893550	645	0	0	9
121	893550	645	0	0	9
122	893550	645	0	0	9
123	893550	645	0	0	9
